animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.0,0.0,0.0,0.0,0.0,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1670,0.3735805322648487,0.005628845753648725,0.3646316661656764,0.38300758021625825,0.018375914050581865,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1690pvccmrtx,0.0,0.0,0.0,0.0,0.0,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1692chronicPVCRTX,0.2092769273116094,0.004328461391190896,0.2023121387283237,0.21639247072773085,0.014080331999407142,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1767pvc,0.015123730138056781,0.0011369239213966642,0.013367196318485717,0.0171051489103065,0.0037379525918207843,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1768,0.30522834722425296,0.00800068393466582,0.2919530145732806,0.31827265194716564,0.02631963737388504,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1770,0.24408426288815196,0.0034918137054699545,0.23847791679228217,0.24991206913878003,0.011434152346497861,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1774pvc,0.09233844662727626,0.002828286426780143,0.08760321336042198,0.09702055879666734,0.009417345436245353,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1841pvc,0.19044524735964427,0.00441693895560754,0.1829905503057254,0.19755419677598665,0.01456364647026126,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1843pvc,0.22101456258700075,0.0044018580674727,0.2137220259128386,0.22786165542349285,0.014139629510654256,90,SpikerateCoact_output_1min_20minbuff_0p9
pig1844,0.021365747778146753,0.0013365183931549056,0.019160031713476376,0.023537107923882618,0.004377076210406242,90,SpikerateCoact_output_1min_20minbuff_0p9
